taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
1536598	1	Mycobacterium phage BuzzLyseyear	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cheoctovirus	Mycobacterium phage BuzzLyseyear
1536603	1	Mycobacterium phage Estave1	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cheoctovirus	Mycobacterium phage Estave1
1536604	1	Leuconostoc phage Ln-8	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unaquatrovirus	Leuconostoc virus Ln8
1536605	1	Leuconostoc phage Ln-9	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unaquatrovirus	Leuconostoc virus Ln9
1536611	1	Yersinia phage vB_YenP_AP5	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Teetrevirus	Yersinia virus AP5
1537091	1	Edwardsiella phage GF-2	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Gofduovirus	Edwardsiella virus GF2
1537975	1	Kumasi rhabdovirus	no rank	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Ledantevirus	Kumasi ledantevirus
1538101	1	Small begomovirus-associated satellite	species	Viruses						Small begomovirus-associated satellite
1538364	1	Ralstonia phage RSJ5	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Risjevirus	Ralstonia virus RSJ5
1538452	1	Feline astrovirus D1	no rank	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 2
1538454	1	Pacui virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Pacuvirus	Pacui pacuvirus
1538455	1	Rio Preto da Eva virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Pacuvirus	Rio Preto da Eva pacuvirus
1538456	1	Tapirape virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Pacuvirus	Tapirape pacuvirus
1538549	1	Ethiopian tobacco bushy top virus	species	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Umbravirus	Ethiopian tobacco bushy top virus
1538550	1	Ethiopian tobacco bushy top virus satellite RNA	species	Viruses						Ethiopian tobacco bushy top virus satellite RNA
1538804	1	Vibrio phage VpKK5	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		Vibrio phage VpKK5
1540090	1	Bacillus phage Mater	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Matervirus	Bacillus virus Mater
1540091	1	Bacillus phage Moonbeam	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Moonbeamvirus	Bacillus virus Moonbeam
1540092	1	Bacillus phage Pascal	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Pagevirus	Bacillus virus Pascal
1540093	1	Bacillus phage Pookie	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Pagevirus	Bacillus virus Pookie
1540094	1	Citrobacter phage Moogle	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Mooglevirus	Citrobacter virus Moogle
1540095	1	Citrobacter phage Moon	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Moonvirus	Citrobacter virus Moon
1540096	1	Citrobacter virus Stevie	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Drexlerviridae	Tlsvirus	Citrobacter virus Stevie
1540097	1	Escherichia phage Pollock	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Schitoviridae	Pollockvirus	Escherichia virus Pollock
